2026-07-21 19:16:54.175 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 19:16:54.206 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 9552 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 19:16:54.206 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 19:16:54.792 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 19:16:54.793 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 19:16:54.821 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2026-07-21 19:16:55.440 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 19:16:55.446 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 19:16:55.447 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 19:16:55.448 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 19:16:55.501 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 19:16:55.501 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1262 ms
2026-07-21 19:16:56.574 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 19:16:56.588 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 19:16:56.595 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.775 seconds (process running for 3.298)
2026-07-21 19:17:04.856 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-21 19:17:04.856 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
2026-07-21 19:17:04.857 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Completed initialization in 1 ms
2026-07-21 19:17:04.949 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - ===== 请求开始 =====
2026-07-21 19:17:04.949 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - 请求路径: POST /yq-admin/users
2026-07-21 19:17:04.950 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - 请求方法: com.yanque.modules.users.controller.SysUserController.login
2026-07-21 19:17:04.953 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - 请求参数: [LoginReq(username=admin111, password=123456)]
2026-07-21 19:17:04.970 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [1c5bd5f8dfbf426b84a3efb6137253a3] - HikariPool-1 - Starting...
2026-07-21 19:17:05.092 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool [1c5bd5f8dfbf426b84a3efb6137253a3] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1eb771da
2026-07-21 19:17:05.093 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [1c5bd5f8dfbf426b84a3efb6137253a3] - HikariPool-1 - Start completed.
2026-07-21 19:17:05.125 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - 响应结果: ApiResponse(code=200, message=操作成功, data=LoginRes(token=, signSecret=eff7994a6afd46c5a7c478b4a6d2e497))
2026-07-21 19:17:05.125 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [1c5bd5f8dfbf426b84a3efb6137253a3] - ===== 请求结束 =====
2026-07-21 19:29:29.863 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown initiated...
2026-07-21 19:29:29.869 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown completed.
